Horodateur,Catégorie,Type de Question,Question,Réponse,Quelle est la difficulté de la question ? (subjectif),Votre nom,"Est-ce une question Troll ? (réponse sincère attendue, on pourra peut-être en faire un aspect du Trivial)",Nombre de Question
15/01/2020 17:25:12,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Qui a succédé à Julien Lepers dans question pour un champion ?,Samuel Etienne,4,Tiéno,Non,
15/01/2020 17:27:06,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Quel est le prénom du rappeur Koba La D ?,Marcel Junior Loutarila,4,Tiéno,Non,
15/01/2020 17:29:11,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Dans quel album du rappeur Niska retrouve-t-on les titres Salé et Réseaux,Commando,2,Tiéno,Non,
15/01/2020 17:32:36,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Quel nationalité représente le perchiste Armand Duplantis durant les compétitions internationales ? ,La Suède,4,Tiéno,Non,
15/01/2020 17:37:37,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Quel émission radiophonique est présentée par Jean Claude Ameisen ?,Sur les épaules de Darwin,3,Tiéno,Non,
15/01/2020 17:40:24,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,"Qui se fait appeler le ""Christ cosmique"" ?",Sylvain Durif,1,Tiéno,Non,
15/01/2020 17:40:33,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quelle particularité ont les zéros triviaux de l'hypothèse de Riemann ?,Ils ont une partie réelle égale à 1/2,3,Clem,,
15/01/2020 17:43:27,Histoire (Politique & Date),Question classique,Qui à assassine Henri IV ?,François Ravaillac ,2,Alice,Non,
15/01/2020 17:45:21,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Qui a écrit 5 personnages en quête d’auteur ?,Luigi pirandello ,4,Alice,Non,
15/01/2020 17:46:52,Histoire (Politique & Date),Question classique,En quelle année a lieu le printemps des peuples en Europe ?,1848,2,Alice,Non,
15/01/2020 17:48:50,Histoire (Politique & Date),"QCM (séparer les choix avec des "";"" )",Quel homme politique italien est kidnappé puis assassiné par les brigate rosse ?,Aldo Moro ,3,Alice,Non,
15/01/2020 17:52:04,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Qui a composé cette musique commençant de cette manière : Laaaaa La La LAAAAAAA ?,Valide n'importe quelle réponse,1,Tiéno,Oui,
15/01/2020 17:56:56,Géographie (Cartographie & Géographie humaine),Question classique,Quels sont les deux terminus de la ligne 14 ? ,Olympiades et Saint-Lazare,3,Tiéno,Non,
15/01/2020 17:58:40,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,De quelle année date la loi de pureté  allemande dite Reinheitsgebot ?,1516,4,Alice,Non,
15/01/2020 17:59:49,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"Dans le célèbre jeu de société Catane, combien y a-t-il de route par joueur ?",15,3,Tiéno,Non,
15/01/2020 18:03:34,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Sous quel pseudonyme est plus connu Adrien Nougaret ? ,Zerator,2,Tiéno,Non,
15/01/2020 19:58:34,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quelle chanson France Gall à t-elle interprétée en 1965 lors de sa victoire à L'eurovision ?,"Poupée de cire, poupée de son",4,Votre nom,Non,
15/01/2020 20:03:21,Montreuil ,"QCM (séparer les choix avec des "";"" )","Quel est le métier de Max Michel ? 
""Urbaniste en aménagement"" ""Chef de projet"" ""Chargé d'Etudes"" ou ""Coach de vie""",Chargé d'Etudes ,3,KB9,Non,
15/01/2020 20:04:58,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)","QCM (séparer les choix avec des "";"" )","D'où l'Oscar, célèbre récompense du cinéma, a-t-il hérité son nom? ""La marque de pellicules Oscar a sponsorisé les premières cérémonies"" ; ""La documentaliste de l'Académie du cinéma trouvait que la statuette ressemblait à son oncle Oscar"" ; ""En esquissant les premiers traits de la statuette, la sculpteur à vu un très beau bus par sa fenêtre et s'est exclamé OH CE CAR"" ; ""Il s'agit d'un hommage à Oscar Wilde, auteur préféré du sculpteur""",La documentaliste de l'Académie du cinéma trouvait que la statuette ressemblait à son oncle Oscar.,4,Pelo,Non,
15/01/2020 20:22:29,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Ben-Hur est l'un des trois seuls films de l'Histoire à avoir été récompensés par 11 Oscars. Quels sont les deux autres ?,Titanic et Le Seigneur des Anneaux : Le Retour du Roi,3,Pelo,Non,
15/01/2020 20:30:12,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"A 500.000 dollars près, quel a été le montant le plus élevé d'un cachet pour un enfant au cinéma ?","4.500.000 dollars (Macaulay Culkin pour ""Maman j'ai raté l'avion"")",3,Pelo,Non,
15/01/2020 20:34:12,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)","QCM (séparer les choix avec des "";"" )","Quel était le prix moyen d'une place de cinéma en 1960 ? (prix converti en euros)
""0.28 euro"" ; ""0.38 euro"" ; ""0.48 euro"" ; ""0.58 euro""",0.28 euro,4,Pelo,Non,
15/01/2020 20:38:34,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quel acteur a joué à la fois la Torche Humaine et Captain America au cinéma ? ,Chris Evans,2,Pelo,Non,
15/01/2020 20:46:11,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quel l'autre nom de l'acide méthanoïque (CH2O2) ?,L'acide formique.,2,Clem,,
15/01/2020 20:51:25,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quelle est la valeur de la constante solaire (rayonnement solaire incident moyen sur la surface totale de la Terre) ?,340 Wm-2,4,Clem,,
16/01/2020 10:24:20,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,En quelle année le joueur de basket Lebron James est officiellement entré en NBA ?,2003,3,ZazaLeDoc',Non,
16/01/2020 10:28:38,Histoire (Politique & Date),Question classique,Quel président de la IIIe République est mort lors d'une fellation de sa maîtresse ?,Felix Faure,4,ZazaLeDoc',Non,
16/01/2020 10:33:07,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Qui est l'interprète de ""Cécile ma fille"" ?",Claude Nougaro ,3,Lila,Non,
16/01/2020 10:38:24,Géographie (Cartographie & Géographie humaine),Question classique,"Si je suis en France et que je souhaite contacter mon bro Shervin à Mexico, sachant qu'il est midi en France, et que Shervin est contactable à partir de 8am heure de Mexico, à quelle heure française devrais-je le facetime pour ne pas le réveiller?",15h.,3,Lila,Non,
16/01/2020 10:44:22,Histoire (Politique & Date),"QCM (séparer les choix avec des "";"" )",Parmis tout ces Bourdin lequel fut un anarchiste? Antonin Bourdin ; Félicien Bourdin ; Antoine Bourdin ; Martial Bourdin,Martial Bourdin,3,Lila,Non,
16/01/2020 10:48:32,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Citez au moins 3 chansons de Soprano.,"Hiro, En Feu, A la bien, Interlude, Cosmo, Clown...",1,Lila,Non,
16/01/2020 10:51:53,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)","QCM (séparer les choix avec des "";"" )",Combien d'enfants Bob Marley a-t-il reconnu? 7 ; 9 ; 11 ; 13,11,2,Lila,Non,
16/01/2020 10:52:40,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Qui a écrit nom de jeune fille?,Françoise bourdin,3,Alice,Non,
16/01/2020 10:53:37,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quel était le surnom de Laurent de Médicis? ,Laurent le magnifique ,1,Alice,Non,
16/01/2020 10:55:14,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quel est le sous titre de des canibales de Montaigne? ,La peur de l’autre ,2,Alice,Non,
16/01/2020 10:55:35,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Qui est l'auteur de ""Emma""?",Jane Austen,4,Lila,Non,
16/01/2020 10:55:51,Histoire (Politique & Date),Question classique,En quel an a lieu l’hegire?,622,1,Alice,Non,
16/01/2020 10:59:36,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Quel roman commence par ""Bien des années plus tard, face au peloton d'exécution, le colonel Aureliano Buendia devait se rappeler ce lointain après-midi au cours  duquel son père l'emmena faire connaissance avec la glace.""? Et qui en est l'auteur?","""Cent ans de solitude"", Gabriel Garcia Marquez.",1,Lila,Non,
16/01/2020 10:59:53,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quelle plante aquatique peut mesurer jusqu’à 50m de haut?,Le kelp flottant ,3,Alice,Non,
16/01/2020 11:01:34,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Comment se nomme le père de Scout dans ""Ne tirez pas sur l'oiseau moqueur"" d'Harper Lee?",Atticus Finch,2,Lila,Non,
16/01/2020 11:04:25,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,"Citez toutes les soeurs de la ""fratrie"" Kardashian/Jenner.","Kim, Khloé, Kourtney, Kylie, Kendall, Robert Junior (Rob aussi accepté",4,Lila,Non,
16/01/2020 11:09:07,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,"Au 16 janvier 2019, combien de saisons de la télé-réalité ""Les Maseillais"", sans compter les cross, ont été diffusées à la télévision?",8.,3,Lila,Non,
16/01/2020 11:11:27,Histoire (Politique & Date),Question classique,A quel évènement est généralement associé la date suivante: 1515 ?,Bataille de Marignan.,1,Lila,Non,
16/01/2020 11:16:43,"Géographie (Cartographie & Géographie humaine), Histoire (Politique & Date)","QCM (séparer les choix avec des "";"" )","Quel état est devenu le premier des Etats-Unis le 7 décembre 1787? Connecticut, Delaware, New Jersey, Massachussetts?",Delaware,3,Lila,Non,
16/01/2020 11:17:48,Géographie (Cartographie & Géographie humaine),Question classique,Quel état des Etats-Unis a pour capital Salem?,L'Oregon.,5,Lila,Non,
16/01/2020 11:19:23,Géographie (Cartographie & Géographie humaine),"QCM (séparer les choix avec des "";"" )",Quel est la capitale du Vermont? Toulouse ; Nice ; Montpelier ; Carcassone,Montpelier,3,Lila,Non,
16/01/2020 11:21:51,Géographie (Cartographie & Géographie humaine),"QCM (séparer les choix avec des "";"" )",Lequel de ces prénoms n'est pas une capitale de l'un des etats des Etats-Unis? George ; Madison ; Pierre ; Cheyenne?,George.,3,Lila,Non,
16/01/2020 11:31:30,Histoire (Politique & Date),Question classique,"En quel année les frères Wright ont pour la première fois réussi le vol motorisé et controlé d'un aeronef sachant que l'arrière-grand-mère de Lila, Mémé George est née cette même année?",1903.,3,Lila,Non,
16/01/2020 11:34:24,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Comment s'appelle l'eau dans laquelle sont cuites les légumineuses?,Aquafaba.,4,Lila,Non,
16/01/2020 11:37:19,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)","QCM (séparer les choix avec des "";"" )",Lequel de ces aliments ne résulte pas du soja ? Edamame ; Tempeh ; Seitan ; Tofu soyeux,Seitan (Le seitan est un aliment fabriqué à base de protéine de blé (gluten).,2,Lila,Non,
16/01/2020 11:39:54,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Qui est l'auteur de la bd ""Lou !""?",Julien Neel.,3,Lila,Non,
16/01/2020 11:44:15,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quel est le premier long métrage de Stanley Kubrick ?,Fear and Desire,4,Tiéno,Non,
16/01/2020 11:47:18,Montreuil,Question classique,En quelle année Marc Neyret fonde-t-il la brasserie de Vézelay?,2012.,1,Lila,Non,
16/01/2020 11:48:01,Montreuil,Question classique,Quel âge a Merovee?,15 ans.,1,Lila,Oui,
16/01/2020 11:49:45,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,"En 2019, quelle club de volley-ball remporte le championnat du monde des clubs ? ",AS Volley Club,4,Tiéno,Non,
16/01/2020 11:51:32,Histoire (Politique & Date),Question classique,Qui a été le premier Premier Ministre de la Veme République ?,Michel Debré,4,Clem,Non,
16/01/2020 11:52:46,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Dans quel club était Earvin Ngapeth de 2014 à 2018 ?,Modena Volley,4,Tiéno,Non,
16/01/2020 11:56:04,Histoire (Politique & Date),Question classique,"Qui est notre ""rais"" à tous ?",René Coty,1,Tiéno,Non,
16/01/2020 11:56:53,Géographie (Cartographie & Géographie humaine),Question classique,Comment nomme-t-on l'étude des drapeaux et des pavillons?,La vexillologie.,4,Lila,Non,
16/01/2020 11:58:18,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Comment se nomme l'entité suprême dans le Seigneur des Anneaux ?,Eru Ilúvatar,3,Tiéno,Non,
16/01/2020 12:01:08,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,"Dans l'univers du Seigneur des Anneaux, quel est le nom d'origine de Morgoth ?",Melkor,3,Tiéno,Non,
16/01/2020 12:03:20,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,En quel pokemon évolue Saquedeneu ?,Bouldeneu,2,Tiéno,Non,
16/01/2020 12:07:02,"Art & Littérature (Architecture, Sculpture, Peinture/Dessin, Musique, Littérature, Art de Scène, Cinéma)",Question classique,Quel est le prénom du personnage principal dans Le Vent se Lève d'Hayao Miyazaki ?,Jirō,3,Tiéno,Non,
16/01/2020 12:09:46,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,"Qui ""respire si fort que nous aurions pu le tuer dans le noir"" ?",Le nain / Gimli,2,Tiéno,Non,
16/01/2020 12:32:29,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)","QCM (séparer les choix avec des "";"" )","Lequel de ces personnages peut-on jouer dans Super Smash Bros Mele : ""Diddy Kong"" , ""Olimar"" , ""Sonic"" , ""Pichu"".",Pichu,3,Tiéno,Non,
16/01/2020 12:39:29,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Combien de jeux composent la série The Legend of Zelda (à deux près) ?,19,3,Tiéno,Non,
16/01/2020 12:43:14,Géographie (Cartographie & Géographie humaine),Question classique,Quels sont les pointes du Triangle des Bermudes ?,"L'archipel des Bermudes, Miami, San Juan",5,Tiéno,Non,
16/01/2020 12:46:31,"Divertissement (Série, Télévision, Radio, Youtube, Internet, Pub, BD...)",Question classique,Où Emmanuel et Brigitte Macron se sont rencontrés ?,à La Provindence à Amiens,4,Tiéno,Non,
16/01/2020 15:52:38,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Qui Einstein a décrit comme ""le génie mathématique créatif le plus considérable produit depuis que les femmes ont eu accès aux études supérieures"" ?",Emmy Noether,4,Clem,Non,
16/01/2020 15:58:06,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Qui est né le 14 mars 1879 à Ulm (actuelle Allemagne) ?,Albert Einstein,4,Clem,Non,
16/01/2020 16:02:00,Histoire (Politique & Date),Question classique,Qui déclina pour la première fois et de plein gré un prix Nobel en 1964 ?,Jean Paul Sartre,4,Clem,Non,
16/01/2020 16:08:47,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,Quelle est la seule personne à avoir 2 prix Nobel différents ?,"Marie Curie (Physique 1903, Chimie 1911)",2,Clem,Non,
16/01/2020 16:10:04,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Sous quel nom, plus connu, connaît-on Maria Salomea Skłodowska ?",Marie Curie,4,Clem,Non,
16/01/2020 16:23:21,Géographie (Cartographie & Géographie humaine),Question classique,"Qui a-t il au 1, rue Sainte-Marguerite à Strasbourg depuis 1991 ?",L’École Nationale d'Administration (ENA),5,Clem,Non,
16/01/2020 16:32:42,"Science & Nature (Sciences Formelles, Sciences Physiques, Science de la Vie, Sciences Sociales)",Question classique,"Si RVB est l'acronyme de Rouge Vert Bleu, que signifie l'acronyme TSL ?",Teinte Saturation Luminance,3,Clem,Non,
16/01/2020 16:35:11,"Sport & Loisir (Règle Sportive, Date d'événement, Anatomie, Records DATÉS, Question JO...)",Question classique,Dans quel sport l'ancienne ministre Chantal Jouanno a été sacré 12 championne de France ?,Karaté en kata,5,Clem,Non,
